url,title,author,price,save,pages,description,size,publisher,language,text_to_speech,x_ray,lending,customer_reviews,stars
http://www.amazon.com/How-Bartender-Bartending-Little-Experience-ebook/dp/B006PK5USG,How to be a Bartender: Get a Bartending Job With Little or no Experience in 30 Days or Less [Kindle Edition],Dave Allred,9.99,,171,"In his revolutionary new book, Dave Allred (TheRealBarman.com) uses his fifteen years of professional bartending and bar management experience to provide you with a powerful step by step, detail by detail blueprint for securing a high-paying bartending job with little or no experience. Most bartending books on the market are simply a list of drink recipes and bar tools with bland advice on what skills it takes to become a bartender. Dave's book is inspiring, dynamic and offers powerful techniques for aspiring bartenders, including: *How to set specific goals that get you a job as quickly as possible *How to choose the best bars to work at based on your personality *How to get the owner, manager and bar staff to love you before you ever interview *How to create a cover letter and resume that outperforms 95% of the competition *The exact questions you will be asked in the interview - it's like getting a copy of the test before the exam *Questions YOU should ask in the interview that will blow the manager away *The myths of bartending - It's not as hard as they'd like you to believe *Interview Do's and Don'ts - 20 tips that will propel you ahead of the competition *Comprehensive guide to liquor, beer, wine, glassware, bar tools, techniques and terminology *100 Most Popular Cocktails Made Today *The 20 Shots you MUST know to bartend *All the skills you'll ever need to become an expert bartender *Why bartending schools are for suckers! *Guest service and what real life is like behind the bar Entertaining, humorous and informative, How to Be a Bartender is a must have for anyone wanting to know what it takes to break into the bar business. Everything in this book identifies exactly what bar managers and owners are looking for that will put you miles ahead of the competition. This is the first time a book has appeared on the market that actually helps people with no experience find a bartending job. If you want a chance at landing a high-paying job as a bartender, read Dave's book, eliminate the mistakes that prevent people from being hired, and wow bar managers in the interview. Visit Dave on TheRealBarman.com",big,,English,Enabled,Not Enabled,Enabled,23,4
http://www.amazon.com/Raise-Bar-Action-Based-Customer-Reactions-ebook/dp/B00CLIK6OO,Raise the Bar: An Action-Based Method for Maximum Customer Reactions [Kindle Edition],Jon Taffer,2,24,258,"If there’s anyone who can prevent a bar or restaurant from going belly up, it’s Jon Taffer. Widely considered the greatest authority in the food and beverage, hotel, and hospitality industries, he runs the biggest trade show in the business and has turned around nearly 1,000 bars and at least that many restaurants. As host and co-producer of Spike TV’s Bar Rescue, a documentary-style series, Taffer gives struggling bars one last chance to succeed with a mixture of business acumen and tough love. Now he’s offering his no-nonsense strategy for eliciting just the right emotional reactions in customers to everyone. Raise the Bar distills the secrets to running a successful enterprise with Reaction Management, a strategy and philosophy Taffer developed and uses in his business and on Bar Rescue. It works whether you’re running a storefront operation or a web-based company, whether you’re manufacturing widgets or providing a service. Taffer’s overarching philosophy is this: All business is about creating the right reactions in your customers. Even better: You can control those reactions to a very large degree. Raise the Bar is the definitive manual on transforming a bar or restaurant with actionable, proven strategies for immediate impact.",big,Amazon Publishing,English,Enabled,Enabled,Enabled,80,4
http://www.amazon.com/The-Professional-Bartenders-Handbook-Including-ebook/dp/B001EHEBOE,The Professional Bartender's Handbook: A Recipe for Every Drink Known - Including Tricks and Games to Impress Your Guests [Kindle Edition],Valerie Mellema,9.87,12.08,288,"The Professional Bartenders Handbook is written for the professional bartender, but anyone can learn the simple tips and tricks this book provides. A copy belongs behind every bar, big or small. Whether running a stand-alone business or one incorporated into a restaurant, hotel, or food service operation, the successful bartender needs product and equipment knowledge and a strong grasp of mixology. The Professional Bartender's Handbook is more than a recipe guide. If you have ever wondered what ingredients were in your favorite drink, this book will teach you. With nearly 1,500 different cocktails, shooters, and even a non-alcoholic section, there is a drink (or two) for everyone. This new book is fun and easy to read. The recipes are in alphabetical order, along with suggested glassware, ingredients, and garnishes. You will learn tips and tricks, bar terminology, measurements, how to set up a bar, glassware, responsible serving issues, garnishes, bar games and tricks, famous toasts, and much more. You will learn the most popular brands of alcohol, as well as what wines complement your dinner selection. Atlantic Publishing is a small, independent publishing company based in Ocala, Florida. Founded over twenty years ago in the company president’s garage, Atlantic Publishing has grown to become a renowned resource for non-fiction books. Today, over 450 titles are in print covering subjects such as small business, healthy living, management, finance, careers, and real estate. Atlantic Publishing prides itself on producing award winning, high-quality manuals that give readers up-to-date, pertinent information, real-world examples, and case studies with expert advice. Every book has resources, contact information, and web sites of the products or companies discussed. This Atlantic Publishing eBook was professionally written, edited, fact checked, proofed and designed. The print version of this book is 288 pages and you receive exactly the same content. Over the years our books have won dozens of book awards for content, cover design and interior design including the prestigious Benjamin Franklin award for excellence in publishing. We are proud of the high quality of our books and hope you will enjoy this eBook version.",small,Atlantic Publishing Group Inc.; illustrated edition edition,English,Enabled,Not Enabled,Not Enabled,32,4
http://www.amazon.com/Double-Your-Tips-Jerry-Minchey-ebook/dp/B005LPGWB0,How to Double Your Tips [Kindle Edition],Jerry Minchey,2.99,,36,"How to Double Your Tips (For every waitress, waiter and bartender) How to Double Your Tips is packed with scientifically tested and proven techniques for doubling your tips. Spend 20 minutes with How to Double Your Tips and learn: * The seven all-time greatest techniques for increasing the amount of your tip on each check. * How to turn tables faster. * How and when to up-sale. * The seven things you should never do if you want big tips. * Techniques that work regardless of your skill, looks or personality. * Why scientific studies were done at a major university to learn how to increase tips for waiters and waitresses. * And a whole lot more. This book skips the hype and goes straight to revealing the proven step-by-step techniques that show you how to actually Double Your Tips. It's all here and it all works.",big,Stony River Media,English,Enabled,Not Enabled,Enabled,6,4
http://www.amazon.com/The-Bartenders-Bible-Mixed-Drinks-ebook/dp/B000FC10R0,The Bartender's Bible: 1001 Mixed Drinks [Kindle Edition],Gary Regan,5.99,2,400,"Mix Drinks Like A Pro Now you can with this indispensable handbook, the most thorough'and thoroughly accessible'bartending guide ever created for both professional and home use. Encyclopedic in scope and filled with clear, simple instructions, The Bartender's Bible includes information on: Stocking and equipping a bar'from liquors and mixers to condiments, garnishes, and equipment Shot-by-shot recipes for over 1,000 cocktails and mixed drinks from bourbon to rum to whiskey Wine drinks Beer drinks Nonalcoholic drinks Special category drinks'tropical, classics, aperitifs, cordials, hot drinks, and party punches Anecdotes and histories of favorite potables And more! If you've ever wondered whether to shake or stir a proper Martini, or what to do with those dusty bottles of flavored liqueurs, The Bartender's Bibleis the only book you need! A bartender, as a rule, is a person who enjoys the company of others, endeavors to solve problems, listens to the woes of the world, sympathizes with the mistreated, laughs with the comedians, cheers up the down at heart, and generally controls the atmosphere at his or her bar. A bartender is the manager of moods, the master of mixology.Certain scenarios are played out over and over again in bars everywhere. The questions are basically the same; only the details vary: What's in a true Singapore Sling? How long has the Martini been around? What's the difference between a Fix and a Fizz? A reference book is as necessary to a bartender as ice. -- from The Bartender's Bible",big,HarperCollins e-books,English,Enabled,Not Enabled,Not Enabled,59,3
http://www.amazon.com/The-Fallen-Angel-Novel-Gabriel-ebook/dp/B0070XQDRO,The Fallen Angel: A Novel (Gabriel Allon) [Kindle Edition],Daniel Silva,6.64,3.35,417,"Art restorer, assassin, spy—Gabriel Allon returns in The Fallen Angel, another blockbuster espionage thriller from #1 New York Times bestselling author Daniel Silva. The acclaimed author of Portrait of a Spy, Silva (“a world class practitioner of spy fiction” — Washington Post) is an undisputed master of the genre who has brought “new life to the international thriller” ( Newsday). A breathtaking adventure that races around the globe, The Fallen Angel begins in Rome, where Allon is called upon to investigate a murder at the Vatican, one with disastrous repercussions that could plunge the world into a conflict of apocalyptic proportions. If you haven’t yet been drawn into Daniel Silva’s thrilling universe of intrigue, danger, and exceptional spycraft, start here—and see why the Philadelphia Inqurer declares that, “The enigmatic Gabriel Allon remains one of the most intriguing heroes of any thriller series.”",big,Harper,English,Enabled,Enabled,Not Enabled,1031,4
http://www.amazon.com/Bartenders-Black-Book-Updated-Edition-ebook/dp/B003GGSTKI,"The Bartenders Black Book, Updated 9th Edition [Kindle Edition]",Stephen Kittredge Cunningham,5.99,6.96,288,"The newest and ninth edition to the Bartenders Black Book franchise adds 143 brand-new recipes that were created by bartenders, professional and laymen, around the world in the last two years. That brings the total beverage count to 3,000, more than double that of any other drink guide. All the sections have been expanded and updated, including Robert M. Parker, Jr. s Vintage Guide and Mr. Cunningham s already vast Martini section. Of course this book still has all its classic features: an index by ingredients, in-depth mixing instructions, metric conversion tables, a list of every possible garnish, sections on hot drinks, frozen drinks, beers, ales, lagers, and malternatives.",big,Wine Appreciation Guild; 9 edition,English,Enabled,Not Enabled,Enabled,40,4
http://www.amazon.com/Justice-Denied-J-Beaumont-Novel-ebook/dp/B000U913KW,Justice Denied (J. P. Beaumont Novel) [Kindle Edition],J. A. Jance,3.79,6.2,448,"The murder of an ex-drug dealer ex-con—gunned down on his mother's doorstep—seems just another turf war fatality. Why then has Seattle homicide investigator J.P. Beaumont been instructed to keep this assignment hush-hush? Meanwhile, Beau's lover and fellow cop, Mel Soames, is involved in her own confidential investigation. Registered sex offenders from all over Washington State are dying at an alarming rate—and not all due to natural causes. A metropolis the size of Seattle holds its fair share of brutal crime, corruption, and dirty little secrets. But when the separate trails they're following begin to shockingly intertwine, Beau and Mel realize that they have stumbled onto something bigger and more frightening than they anticipated—a deadly conspiracy that's leading them to lofty places they should not enter . . . and may not be allowed to leave alive.",big,William Morrow; Reprint edition,English,Enabled,Enabled,Not Enabled,213,4
http://www.amazon.com/The-Ultimate-Bar-Book-Comprehensive-ebook/dp/B003IV8GUY,"The Ultimate Bar Book: The Comprehensive Guide to Over 1,000 Cocktails [Kindle Edition]",Mittie Hellmich,8.63,11.32,476,"Ultimate Bar Book is the first and only guide to classic and new drink recipes. Loaded with essential-to-know topics such as barware, tools, and mixing tips, this book has it all. As a mistress of mixology, the author has the classics down to a Tthe Martini, the Bloody Mary, plus the many variations (the Dirty Martini, the Virgin Mary). And then there are all the creative new elixirs the author brings to the table, like the Tasmanian Twister Cocktail or the Citron Sparkler. Illustrations show precisely what type of glass should be used for each drink. With dozens of recipes for garnishes, rims, infusions, and syrups; punches, gelatin shooters, hot drinks, and non-alcoholic beverages; andlet's not forgetan essential selection of hangover remedies, Ultimate Bar Book is nothing short of top-shelf.",big,Chronicle Books LLC,English,Enabled,Enabled,Enabled,102,4
http://www.amazon.com/Running-Bar-For-Dummies-Foley-ebook/dp/B004S82OEU,Running a Bar For Dummies [Kindle Edition],Ray Foley,12.49,9.5,360,"Have you ever thought of owning your own bar? Did you ever stumble into an overpriced watering hole and think how much better it could be if you ran the place? Or maybe you walked into your dream bar and realized that running one was the dream job you’ve always wanted? With Running a Bar for Dummies, you can live your dream of operating your own establishment. This hands-on guide shows you how to maintain a successful bar, manage the business aspect of it, and stake your place in your town’s nightlife. It provides informative tips on: Understanding the business and laws of owning a bar Developing a business plan Creating a menu, choosing décor, and establishing a theme Stocking up on equipment Choosing and dealing with employees Handling tough customers Controlling expenses, managing inventory, and controlling cash flow Getting the word out about your place Preparing for your grand opening, step-by-step This guide cues you in on how to keep your bar safe and clean, making sure everyone is having fun. It warns you about the pitfalls and no-nos that every owner should avoid. There are also helpful resources, such as contact information for State Alcohol Control Boards and Web sites with valuable information.",medium,For Dummies; 1 edition,English,Enabled,Not Enabled,Enabled,16,4
